split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
dev2,141,0.4762,0.0427,0.4369,0.0000,0.1000,0.3527,1.9569,0.3897,0
dev2,142,0.9268,0.2712,1.1978,0.0000,0.2608,0.9696,2.1343,0.7024,0
dev2,143,1.1382,0.5498,0.6099,0.0000,0.1825,0.5527,0.7999,1.1015,0
dev2,144,0.5171,0.0878,0.5993,0.0000,0.3114,0.3434,2.0036,0.2559,0
dev2,145,0.2381,0.1845,0.2997,0.0000,0.2476,0.4268,2.4907,0.2578,0
dev2,146,1.0134,0.0426,0.9720,0.0000,0.3008,0.8207,1.5051,0.8577,0
dev2,147,0.7581,0.3182,1.0762,0.0000,0.3162,1.2243,2.0916,0.9213,0
dev2,148,0.5069,0.0450,0.4831,0.0000,0.1487,0.4124,1.4891,0.4247,0
dev2,149,1.2345,1.1132,2.3286,0.0000,0.2823,2.4240,2.6648,1.3113,0
dev2,150,0.6620,0.3828,0.3744,0.0000,0.3574,0.2667,0.5498,0.6483,0
dev2,151,1.1872,0.4723,0.7270,0.0000,0.0000,0.7270,0.7731,1.1872,0
dev2,152,0.5920,0.1338,0.4623,0.0000,0.3812,0.2333,1.1720,0.3476,0
dev2,153,0.7679,0.2548,1.0111,0.0000,0.2371,1.2151,2.1740,0.9641,0
dev2,154,1.4779,0.5012,0.9810,0.0000,0.0000,0.9810,1.0403,1.4779,0
dev2,155,1.6765,0.3934,1.2936,0.0000,0.0000,1.2936,1.3719,1.6765,0
dev2,156,0.4292,0.1751,0.2747,0.0000,0.0000,0.2747,1.2675,0.4292,0
dev2,157,1.0556,0.0858,1.1308,0.0000,0.4080,0.9414,1.8176,0.8564,0
dev2,158,0.8433,0.1215,0.9051,0.0000,0.3394,0.6327,1.6821,0.5463,0
dev2,159,0.6005,0.1250,0.5324,0.0000,0.4144,0.2796,1.1125,0.4027,0
sponsor,0,0.3162,0.2151,0.5292,0.0000,0.1838,0.6430,2.2179,0.4310,0
sponsor,1,1.9000,0.0184,1.9184,0.0000,0.3600,1.5584,1.6776,1.5400,0
sponsor,2,0.7280,0.0345,0.6935,0.0000,0.2102,0.5770,1.4274,0.6101,0
sponsor,3,1.5524,0.0522,1.5100,0.0000,0.3828,1.3365,1.5532,1.3706,0
sponsor,4,0.6403,0.0686,0.6726,0.0000,0.3808,0.6517,1.4989,0.5908,0
sponsor,5,0.7211,0.1971,0.5545,0.0000,0.3929,0.5039,1.1496,0.7003,0
sponsor,6,0.6708,0.0605,0.6957,0.0000,0.2602,0.6553,1.3892,0.6113,0
sponsor,7,0.3162,0.1647,0.1628,0.0000,0.3036,0.4256,1.0475,0.5901,0
sponsor,8,1.3342,0.8219,2.1351,0.0000,0.2865,2.2604,2.5084,1.4409,0
sponsor,9,1.2042,0.0417,1.2198,0.0000,0.4144,0.8217,1.5212,0.8110,0
sponsor,10,1.4318,0.1136,1.3305,0.0000,0.2746,1.1605,1.3643,1.2520,0
sponsor,11,0.2236,0.1558,0.2723,0.0000,0.2997,0.5092,1.7194,0.3766,0
sponsor,12,1.0050,0.4012,1.4030,0.0000,0.0943,1.3507,2.2418,0.9502,0
sponsor,13,0.0000,0.0319,0.0319,0.0000,0.4200,0.3881,1.3011,0.4200,0
sponsor,14,0.6083,0.1504,0.4580,0.0000,0.1204,0.3609,1.2351,0.5104,0
sponsor,15,1.0000,0.1109,0.8891,0.0000,0.3500,0.5391,1.2823,0.6500,0
sponsor,16,0.8000,0.3034,0.4968,0.0000,0.1603,0.3367,1.0071,0.6401,0
sponsor,17,0.2236,0.0702,0.2855,0.0000,0.3667,0.5665,1.4278,0.5334,0
sponsor,18,0.4243,0.0424,0.4078,0.0000,0.2823,0.2042,1.5367,0.1942,0
sponsor,19,0.9055,0.2224,1.1276,0.0000,0.1140,1.1522,1.6980,0.9301,0
sponsor,20,0.9055,0.1028,0.9965,0.0000,0.4215,0.5935,1.5589,0.5135,0
sponsor,21,0.7000,0.3346,0.3654,0.0000,0.3200,0.6854,1.0501,1.0200,0
sponsor,22,1.1705,0.3604,0.8104,0.0000,0.3312,0.9168,1.0483,1.2648,0
sponsor,23,0.8062,0.2975,0.5107,0.0000,0.3614,0.1527,0.7818,0.4501,0
sponsor,24,0.1414,0.1936,0.1296,0.0000,0.3905,0.2867,0.8629,0.4801,0
sponsor,25,0.2236,0.1934,0.1928,0.0000,0.2335,0.2510,1.8150,0.0671,0
sponsor,26,0.3162,0.2620,0.0889,0.0000,0.4669,0.4988,1.0405,0.7603,0
sponsor,27,1.1045,0.0302,1.1346,0.0000,0.1077,1.0902,1.6399,1.0600,0
